gene,GSM2677508,GSM2677509,GSM2677510,GSM2677511,GSM2677512,GSM2677513,GSM2677514,GSM2677515,GSM2677516,GSM2677517
ENSG00000114030,2.5743,2.5019,4.1785,3.2329,3.0332,3.1721,3.7679,2.9774,2.9849,2.8429
ENSG00000114054,0.9629,0.8953,1.5715,1.93,0.8328,1.3747,1.8857,2.085,2.0604,1.6524
ENSG00000114062,5.3653,5.5214,4.5104,4.506,4.6543,4.5945,4.597,4.5763,3.8917,5.1305
ENSG00000114098,1.455,1.4622,1.6984,1.6876,1.4991,2.0303,1.7472,1.4957,1.6111,1.8583
ENSG00000114107,1.0171,1.1588,1.3014,1,1.052,1.0697,1.1205,1.0397,1.0743,1.0822
ENSG00000114113,0.0056,0.006,0.0074,0.0067,0.0062,0.0047,0.013,0.0094,0.0109,0.0064
ENSG00000114115,1.557,1.4139,1.1241,1.1607,0.5565,0.9088,1.1249,2.3757,1.4889,2.0842
ENSG00000114120,2.4521,1.965,3.1382,3.8962,2.8054,2.3937,3.3829,2.9477,2.5374,3.6404
ENSG00000114124,0.0655,0.0445,0.0383,0.0117,0.0497,0.0406,0.0314,0.0318,0.0419,0.0222
ENSG00000114125,1.8975,1.813,1.5786,1.3545,1.7071,1.5239,1.2126,1.2572,1.372,1.2263
ENSG00000114126,3.2148,4.2763,3.0485,2.6704,3.3521,4.4639,3.5396,2.9916,2.8147,2.7745
ENSG00000114127,1.763,1.8435,1.7829,2.0671,1.9034,2.4036,2.0258,1.4298,1.384,1.3817
ENSG00000114166,5.815,4.2353,6.1354,4.9257,3.8844,5.9154,8.1042,5.9811,5.0816,5.1118
ENSG00000114200,0.2468,0.1497,0.181,0.2472,0.2592,0.4163,0.4495,0.3585,0.5585,0.5642
ENSG00000114204,0.3283,0.1743,0.3967,0.2343,0.3218,0.0784,0.3335,0.1915,0.186,0.1752
ENSG00000114209,0.7877,0.7444,1.2451,1.0254,0.8107,0.9034,1.0225,1.3641,0.9247,1.174
ENSG00000114248,0.0015,0.0043,0.0065,0.0036,0.0071,0.0047,0.013,0.0039,0.0047,0.0034
ENSG00000114251,0.5226,0.7143,0.9172,1.0573,0.8857,0.6881,0.5853,0.4358,0.5107,0.5073
